epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,249.159,2.29586,3.71816,1.42315,0.78731,0.72744,0.78279,0.34047,1.88663,1.75634,1.2479,0.000332865,0.000332865,0.000332865
2,487.536,1.9051,1.66563,1.2217,0.88203,0.83485,0.89278,0.40528,1.79087,1.12574,1.21664,0.000653007,0.000653007,0.000653007
3,720.858,1.85539,1.35476,1.19866,0.93343,0.86891,0.93063,0.45364,1.70768,0.97269,1.17476,0.00095995,0.00095995,0.00095995
4,952.885,1.80209,1.21872,1.17817,0.89735,0.88098,0.9233,0.43384,1.74377,0.98255,1.18832,0.0009406,0.0009406,0.0009406
5,1188.01,1.76591,1.13147,1.15695,0.95076,0.89375,0.94509,0.45467,1.72655,0.88961,1.17602,0.0009208,0.0009208,0.0009208
6,1420.16,1.74,1.07869,1.14903,0.96443,0.93204,0.9648,0.47889,1.68245,0.81534,1.15698,0.000901,0.000901,0.000901
7,1646.83,1.72346,1.03846,1.13654,0.9389,0.91378,0.94269,0.43363,1.766,0.84101,1.19716,0.0008812,0.0008812,0.0008812
8,1870.5,1.70525,1.00163,1.13307,0.96639,0.92723,0.96279,0.47289,1.6902,0.79192,1.15324,0.0008614,0.0008614,0.0008614
9,2090.96,1.68861,0.97125,1.13301,0.96971,0.92955,0.96939,0.48973,1.67461,0.76526,1.14713,0.0008416,0.0008416,0.0008416
10,2318.51,1.66953,0.93979,1.11814,0.96968,0.94743,0.97013,0.48844,1.67175,0.74624,1.15057,0.0008218,0.0008218,0.0008218
11,2542.87,1.66468,0.91774,1.12027,0.97178,0.95445,0.97422,0.50126,1.63148,0.7173,1.13423,0.000802,0.000802,0.000802
12,2771.75,1.64252,0.88787,1.1146,0.96736,0.94897,0.9731,0.49815,1.63156,0.70854,1.12663,0.0007822,0.0007822,0.0007822
13,3004.81,1.63432,0.88362,1.10323,0.97131,0.9593,0.97814,0.50327,1.63936,0.6957,1.12967,0.0007624,0.0007624,0.0007624
14,3239.57,1.6198,0.85867,1.10135,0.96739,0.95096,0.97266,0.4985,1.65347,0.69966,1.13961,0.0007426,0.0007426,0.0007426
15,3469.83,1.60881,0.84505,1.09999,0.96124,0.95726,0.9729,0.48792,1.675,0.69362,1.14127,0.0007228,0.0007228,0.0007228
16,3693.38,1.60565,0.83167,1.09059,0.97431,0.95542,0.97851,0.51409,1.61413,0.66291,1.12424,0.000703,0.000703,0.000703
17,3922.16,1.59199,0.81888,1.09439,0.97559,0.96375,0.97873,0.50394,1.63935,0.65369,1.13389,0.0006832,0.0006832,0.0006832
18,4142.68,1.58334,0.80406,1.08868,0.97406,0.97445,0.98194,0.52271,1.5888,0.635,1.11436,0.0006634,0.0006634,0.0006634
19,4368.67,1.56997,0.78958,1.08459,0.97065,0.97309,0.98132,0.52079,1.58313,0.6355,1.11242,0.0006436,0.0006436,0.0006436
20,4590.97,1.55938,0.78287,1.08186,0.97517,0.96717,0.98168,0.52106,1.58469,0.62625,1.11011,0.0006238,0.0006238,0.0006238
21,4812.67,1.55781,0.77291,1.07819,0.97417,0.97298,0.98421,0.52837,1.57232,0.62096,1.10588,0.000604,0.000604,0.000604
22,5039.65,1.55187,0.76712,1.07549,0.97331,0.97472,0.98079,0.52067,1.58503,0.61891,1.11129,0.0005842,0.0005842,0.0005842
23,5264.29,1.53611,0.75357,1.07158,0.97298,0.97575,0.982,0.52798,1.5643,0.61193,1.10062,0.0005644,0.0005644,0.0005644
24,5489.95,1.52464,0.74701,1.06984,0.97749,0.97147,0.98402,0.51977,1.5883,0.6122,1.11007,0.0005446,0.0005446,0.0005446
25,5713.74,1.50944,0.73926,1.06542,0.9762,0.97748,0.98617,0.53296,1.54872,0.59441,1.09649,0.0005248,0.0005248,0.0005248
26,5940.26,1.50464,0.73452,1.06181,0.97359,0.97668,0.98416,0.53669,1.53956,0.5894,1.09106,0.000505,0.000505,0.000505
